,society_name,description,area,bhk,square_ft,price,possession,rating
0,Sri Krishna Parijatha,Residential apartment for sell.The property comes with a good construction quality which ages 5-10 years old propertylocated in green glen layout.Property is built in 1450 (Builtup area) it is a semifurnished property.The property has 3 bedrooms with 3 bathrooms .Available at an expected price of rs 1.45cr.Located on 4th floor out of the 5,Carpet Area,3 BHK Flat,"₹10,000 /sqft",₹1.45 Cr,Ready To Move,3.7
1,DNR Reflection,"This 3 bhk apartment is available for sale in dnr reflection, one of the most prominent projects for flats in green glen layout, bangalore east. The flat is facing the east direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 2141 sq.Ft. This flat is situated on the 6th floor of this 12 floors tal...",Super Built-up Area,3 BHK Flat,"₹17,748 /sqft",₹3.8 Cr,Ready To Move,3.7
2,DNR Reflection,"Check out this 4 bhk apartment for sale in dnr reflection, a popular residential project that houses in-Demand flats in green glen layout, bangalore east. This property faces the north-East direction. The flat is over 2671 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. This flat is situated on the 11th floor of this 12 floors tall residential building. As t...",Super Built-up Area,4 BHK Flat,"₹16,098 /sqft",₹4.3 Cr,Ready To Move,4.1
3,DNR Reflection,"Dnr reflection is one of bangalore east's most sought after destination for apartments and this 3 bhk flat in green glen layout is your opportunity to be a part of this community. This residential flat is east-Facing direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2141 sq.Ft. The flat has a t...",Super Built-up Area,3 BHK Flat,"₹16,814 /sqft",₹3.6 Cr,Ready To Move,4.1
4,DNR Reflection,"This 4 bhk flat is located in dnr reflection, which houses some of the most spacious flats in green glen layout, bangalore east. This is a east-Facing property. The flat is over 3129 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. The residential building has 12 floors in total and the flat for sale is located on the 2nd floor. An added advantage of this 0-1...",Super Built-up Area,4 BHK Flat,"₹12,783 /sqft",₹4 Cr,Ready To Move,3.7
5,DNR Reflection,"Dnr reflection is one of bangalore east's most sought after destination for apartments and this 4 bhk flat in green glen layout is your opportunity to be a part of this community. This property faces the east direction. The flat is over 3129 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 2 balconies. The residential building has 12 floors in total and the flat for sale ...",Super Built-up Area,4 BHK Flat,"₹14,062 /sqft",₹4.4 Cr,Ready To Move,4.1
6,Sobha Hibiscus,"Well maintained 3bhk flat for sale at sobha hibiscus apartment. Very premium location, v close vicinity of techparks. Right on outer ring road",Super Built-up Area,3 BHK Flat,"₹11,730 /sqft",₹2 Cr,Ready To Move,3.6
7,DNR Reflection,"This beautiful 4 bhk flat in green glen layout, bangalore east is situated in dnr reflection, one of the popular residential society in bangalore east. The flat is east-Facing. Containing 4 bedroom(s), 5 bathrooms and 3 balconies, this flat is spread over a super built up area of 3134 sq.Ft. The flat has a total of 12 floors and this property is situated on 7th floor. As the project is already ...",Super Built-up Area,4 BHK Flat,"₹13,401 /sqft",₹4.2 Cr,Ready To Move,Nothing
8,DNR Reflection,"This lovely 4 bhk apartment/flat in green glen layout is available for sale in one of bangalore east's most popular projects, dnr reflection. The flat is facing the east direction. The flat is over 2671 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. This flat lies on the 6th level of a 12 storey building. Being a ready to move project, you can expect immedi...",Super Built-up Area,4 BHK Flat,"₹13,103 /sqft",₹3.5 Cr,Ready To Move,Nothing
9,DNR Reflection,"Situated in green glen layout, bangalore east, dnr reflection is a well planned society that offers a pleasant living experience to its residents. This 4 bhk flat in bangalore east is your opportunity to be a part of this community. This property faces the east direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 2 balconies. All in all, the flat is spread over a super ...",Super Built-up Area,4 BHK Flat,"₹13,103 /sqft",₹4.1 Cr,Ready To Move,Nothing
10,Sobha Hibiscus,"This 3 bhk flat is located in sobha hibiscus, which houses some of the most spacious flats in green glen layout, bangalore east. The flat is facing the north direction. The flat is over 1685 sq.Ft. Built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat is situated on the 3rd floor of this 9 floors tall residential building. An added advantage of this 10+ years old fla...",Built-up Area,3 BHK Flat,"₹11,275 /sqft",₹1.9 Cr,Ready To Move,Nothing
11,Sobha Hibiscus,"Sobha hibiscus is a luxurious residential project with a unique design and architecture. The project offers a variety of luxurious features that make it a perfect place to call home. Sobha hibiscus, a beautiful 3 bhk semifurnised apartment is developed by sobha developer in bangalore. Sobha hibiscus is one of the popular residential developments in sarjapur road neighborhood of bangalore. Sobha...",Built-up Area,3 BHK Flat,"₹12,941 /sqft",₹2.2 Cr,Ready To Move,Nothing
12,Sobha Mayflower,"Situated in green glen layout, bangalore east, sobha mayflower is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bangalore east is your opportunity to be a part of this community. The flat is facing the east direction. Constructed on a super built up area of 1734 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat...",Super Built-up Area,3 BHK Flat,"₹11,534 /sqft",₹2 Cr,Ready To Move,Nothing
13,Sobha Hibiscus,"We are the proud owners of this 3 bhk apartment available in sobha hibiscus, green glen layout, bangalore east. This it is a and the unit is located on 4th floor and has a super built-Up area of 1684 sq.Ft. . It has 3 bathroom(s). The ownership is freehold type.",Super Built-up Area,3 BHK Flat,"₹14,845 /sqft",₹2.5 Cr,Ready To Move,Nothing
14,sri krishna parijatha,"We are the proud owners of this 3 bhk apartment available in sri krishna parijatha, green glen layout, bangalore south. This furnished apartment it is a and the unit is located on 4th floor and has a carpet area of 1650 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.",Carpet Area,3 BHK Flat,"₹7,500 /sqft",₹1.3 Cr,Ready To Move,Nothing
15,Sobha Mayflower,Property is prime / pool facing and partially to fully furnished.,Carpet Area,3 BHK Flat,"₹17,714 /sqft",₹3.1 Cr,Ready To Move,Nothing
16,Maruti Grandeur,"This is your chance to a 2 bhk apartment / flat for sale in maruti grandeur bellandur bangalore east . Where luxury comes with affordability. Basic details: You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 1 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has...",Super Built-up Area,2 BHK Flat,"₹7,083 /sqft",₹62 Lac,Ready To Move,Nothing
17,Shubh Enclave,A limited luxury sement apartments in one of the biggest layout in asia the shubh enclave spread across more than 200 acres with 7 different lakes and close to orr. In this limited society we have 18 units of 2 and 3 bhk apartmenst. You also get 4 balconies in your 3bhk and 3 balconies in 2bhk please reah out for more details. Thank you,Carpet Area,3 BHK Flat,"₹12,000 /sqft",₹2.14 Cr,Under Construction,Nothing
18,Reliaable Lakedew Residency,Very good location nearby mall.Supermarket good schools Hospitals and it companies,Plot Area,Residential land / Plot,"₹15,000 /sqft",₹5.5 Cr,Ready To Move,Nothing
19,Tru Windchimes,Ground floor 3bhk with garden facing amenities and parks,Super Built-up Area,3 BHK Flat,"₹16,243 /sqft",₹1.6 Cr,Under Construction,Nothing
20,DSR Regency,"This is a 3 bhk property right on the bellandur green glen layout main road. East facing 100% vaastu compaint..It's just 150 meters from the outer ring road bellandur petrol bunk bus stop. Upcoming metro station just 500 meters from the apartment. All top schools, hospitals, malls, provision stores, are less than 1km of apartment has 24 power backup, 3 bhk 3 bath, 1 utility and 1 balcony. Has a...",Built-up Area,3 BHK Flat,"₹9,215 /sqft",₹1.35 Cr,Ready To Move,Nothing
21,nikhar aventino,"This 2 bhk apartment is available for sale in nikhar aventino doddakannelli- Bellandur road behind ecoworld techpark , one of the most prominent projects for flats in sarjapur road, bangalore east. The flat is facing the west direction. Constructed on a carpet area of 1017 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the 7th floor of a 9 floors ...",Carpet Area,2 BHK Flat,"₹14,018 /sqft",₹1.5 Cr,Ready To Move,Nothing
22,Vaswani Ashton Woods,"A beutiful 3bhk villa in a cosy gated community with all amenities. The villa has spacious living room, family room, private garden, covered parking for 2 cars, open terrace etc. The community has a well established and effective water harvesting system that makes it self sufficient in water and makes it flood proof",Plot Area,3 Bedroom House,"₹22,844 /sqft",₹4 Cr,Ready To Move,Nothing
23,Tru Windchimes,"We are the proud owners of this 1 bhk apartment available in pratheek wind chimes, kasavanhalli, bangalore east. This it is a and the unit is located on 2nd floor and has a super built-Up area of 620 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.",Super Built-up Area,1 BHK Flat,"₹10,483 /sqft",₹68 Lac,Under Construction,Nothing
24,Saroj Dynasty,"3bhk flat for sale with car parking and basic amenities like lift, swimming pool,gym.",Carpet Area,3 BHK Flat,"₹6,785 /sqft",₹95 Lac,Ready To Move,Nothing
25,Reliaable Lakedew Residency,Planning to purchase a plot in bangalore east? This plot in harlur road is situated in one of the excellent locations of the city. The plot is around super built up area of 1500 sq.Ft. In size. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. Currently the nature of ownership of the property is freehold. The expected price for the pro...,Plot Area,Residential land / Plot,"₹126,666 /sqft",₹19 Cr,Ready To Move,Nothing
26,"Kadubeesanahalli, Bangalore East","North facing plot (30x40 sft. Site) for sale immediately in kadubeesanahalli 1st main Landmark: Behind mana charisma apartment. Best suited for ladies pg, coliving pg, the location of plot/site is hardly 100 meters from kadubeensahalli outer ring road. Location of property is very closely walkable distance to kadubeesanahalli or panathur bus stop (Within 200 meters). Lot of tech parks (Jp morga...",Plot Area,Residential land / Plot,"₹20,000 /sqft",₹2.4 Cr,Ready To Move,Nothing
27,Bhoomija Banyan Tree,"Looking for a 3 bhk property for sale in bangalore east? Buy this 3 bhk flat in bhoomija banyan tree that is situated in bellandur, bangalore east. This property faces the west direction. Constructed on a carpet area of 2080 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 1 balcony. The residential building has 4 floors in total and the flat for sale is located on the ground floor. Thi...",Carpet Area,3 BHK Flat,"₹9,519 /sqft",₹1.98 Cr,Ready To Move,Nothing
28,The Central Regency Address,"East facing vastu compliant, semi furnished with luxury fittings, access to society terrace open area on same floor. This is premium 3 bhk flat available for sale in the central regency address apartment located in bellandur sarjapur main road behind microsoft office.",Super Built-up Area,3 BHK Flat,"₹16,666 /sqft",₹3.2 Cr,Ready To Move,Nothing
29,GSA Greenwoods,"This east facing home is over & is in a convenient location. Situated on the this home can comfortably serve your space for parking of car and bike needs. With amenities such as intercom facility, security, lift & wi-Fi this home offers you a lot of convenience. Spacious rooms, next to it park, good rental yield. It's a b khata flat (Additional floor). Lowball offers are not entertained.",Carpet Area,2 BHK Flat,"₹4,707 /sqft",₹54 Lac,Ready To Move,Nothing
30,Kristal Olivine,Very well maintained flat and apartment complex. + vitrified tile flooring in all the rooms + spacious kitchen complete with cabinets and trolleys + vaastu compliant + interior designer designed veneer woodwork in bedrooms and living room + inverter power backup dedicated for the flat. Generator backup for common area. + grills in both the balconies for added safety,Built-up Area,3 BHK Flat,"₹9,499 /sqft",₹1.1 Cr,Ready To Move,Nothing
31,Bhoomija Banyan Tree,"For sale: Stunning 3bhk ground floor apartment with private garden no common walls Price: 2.02 crore Location opp wells fargo orr Discover your dream home in this exquisite 3bhk ground-Floor apartment, offering unparalleled privacy with no common walls located in a serene and highly sought-After area, this home is perfect for those who value tranquility and comfort. Property features *3 spaciou...",Super Built-up Area,3 BHK Flat,"₹8,487 /sqft",₹2.02 Cr,Ready To Move,Nothing
32,Krishvi Dhavala,"This beautiful 3 bhk flat in bellandur, bangalore east is situated in krishvi dhavala, one of the popular residential society in bangalore east. This property faces the east direction. The flat occupies a built up area of 1690 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 2 balconies. This flat lies on the 2nd level of a 7 storey building. As the project is already ready to move, so you c...",Built-up Area,3 BHK Flat,"₹13,905 /sqft",₹2.25 Cr,Ready To Move,Nothing
33,Green Medows,"This 3 bhk flat is located in green medows, which houses some of the most spacious flats in harlur road, bangalore east. Constructed on a built up area of 2597 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and 2 balconies. The flat has a total of 2 floors and this property is situated on 1st floor. This is a ready to move project and the property is 10+ years old.",Built-up Area,3 BHK Flat,"₹6,353 /sqft",₹1.65 Cr,Ready To Move,Nothing
34,Prestige Ferns Residency,"Fully furnished 2bhk 2bath 1 balcony and 1 covered parking east facing, corner tower with a view of maze garden facing unit is available for sale. It includes all furniture and appliances. Located in prestige ferns residency, this flat is equipped with premium amenities. This apartment in one of the significant areas of haralur main road is ready to move, and can be purchased at the best price ...",Built-up Area,2 BHK Flat,"₹17,376 /sqft",₹2.08 Cr,Ready To Move,Nothing
35,Prestige Ferns Residency,"Semi furnished 2bhk 2bath 1 balcony and 1 covered parking east facing, corner tower with a view of maze garden facing unit is available for sale.",Built-up Area,2 BHK Flat,"₹16,959 /sqft",₹2.03 Cr,Ready To Move,Nothing
36,Ecolife Elements of Nature,"Check out this 1 bhk apartment for sale in ecolife elements of nature, a popular residential project that houses in-Demand flats in panathur, bangalore east. The flat is east-Facing. The flat occupies a super built up area of 651 sq.Ft. That consists of 1 bedroom, 1 bathroom . The property is located on the 3rd floor of a 10 floors tall building. As the project is already ready to move, so you ...",Super Built-up Area,1 BHK Flat,"₹10,445 /sqft",₹65 Lac,Ready To Move,Nothing
37,Sathya Sai Paradise,"Apartment highlights: 1. Beautiful east-Facing corner flat, with ample ventilation. 2. The apartment flat has 3 balconies and is closed with an iron grill and covered with glass windows. 3. The entrance door also has an iron door. The flat is fully furnished. 4. This apartment has a 24-Hour lift and power backup. 5. The apartment is very close to top schools and colleges and is within walking d...",Super Built-up Area,2 BHK Flat,"₹9,052 /sqft",₹86 Lac,Ready To Move,Nothing
38,Tru Windchimes,"3 bedroom + 3 bathroom apartment (3bhk) with excellent connectivity for offices in orr, Marathahalli, sarjapur road, whitefield, etc. East facing with 3 west-Facing balconies. In c-Block top 4th floor which is front/open amenities areas facing with high ventilation & natural lighting. Under construction property with interior handover jun'24 and possession by dec'24. Get this 3 bhk for sale in ...",Super Built-up Area,3 BHK Flat,"₹14,015 /sqft",₹1.85 Cr,Under Construction,Nothing
39,Essem 18 Poetree,"Check out this 3 bhk apartment for sale in essem 18 poetree, a popular residential project that houses in-Demand flats in kasavanhalli, bangalore east. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1394 sq.Ft. This flat is situated on the 1st floor of this 5 floors tall residential building. An added ...",Super Built-up Area,3 BHK Flat,"₹13,928 /sqft",₹1.95 Cr,Ready To Move,Nothing
40,Oceanus Vista 2,"This 3 bhk flat is located in oceanus vista apartments, which houses some of the most spacious flats in sarjapur road, bangalore east. This residential flat is east- Facing direction. The flat is 1646 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms, 2 balconies. The flat lies on the 10th level of a 12 storey building. This is a 2 year old property available for immediate pos...",Super Built-up Area,3 BHK Flat,"₹17,757 /sqft",₹1.98 Cr,Ready To Move,Nothing
41,Reliaable Lakedew Residency,"Bda approved, good location in relaiable lakedew residency, hsr layout ext.",Plot Area,Residential land / Plot,"₹16,666 /sqft",₹2 Cr,Ready To Move,Nothing
42,Prestige Kew Gardens,"This 1 bhk apartment is available for sale in prestige kew gardens, one of the most prominent projects for flats in bellandur, bangalore east. The flat occupies a super built up area of 615 sq.Ft. That consists of 1 bedroom, 1 bathroom and 1 balcony. This flat is situated on the ground floor of this 4 floors tall residential building. Being a ready to move project, you can expect immediate poss...",Super Built-up Area,1 BHK Flat,"₹21,686 /sqft",₹90 Lac,Ready To Move,Nothing
43,Sonestaa iWoods,"Situated in bellandur, bangalore east, sonestaa iwoods is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bangalore east is your opportunity to be a part of this community. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a super built up area of 1600 sq.Ft. The residential building has 4 floors in total and the ...",Super Built-up Area,3 BHK Flat,"₹11,250 /sqft",₹1.35 Cr,Ready To Move,Nothing
44,GSA Wave Woods,Gdghhbhijbbhgvvbhhhhbbhhhhbbbbbb,Super Built-up Area,3 BHK Flat,"₹7,119 /sqft",₹1.1 Cr,Ready To Move,Nothing
45,Estella Maple Square,"Prime location, right on the main rd, no common wall, no adjacent & front door. Spacious long 21'*4' balcony facing greenry. Nearby schools - Amaatra academy school right acrtoss the rd, 2 mins to amrita engineering college, 10 mins to amrita international vidyalayam, 10 mins to the cambridge international school (Tcis). Hospitals: 5 mins to aarogya hasta hospital, 20 mins to motherhood, rainbo...",Super Built-up Area,3 BHK Flat,"₹11,402 /sqft",₹1.52 Cr,Ready To Move,Nothing
